MARKER 0 0 Group(0,0)-ATTACK 0 0 1
MARKER 348 2484.753270135215 Group(1,86)-ATTACK 0 21274726 1
MARKER 349 2494.1643812463262 Group(1,86)-SUSTAIN 0 21274726 1
MARKER 350 2506.268724279836 Group(1,86)-RELEASE 0 21274726 1
MARKER 351 2506.268724279836 Group(1,87)-ATTACK 0 21274726 1
MARKER 352 2508.8353909465027 Group(1,87)-SUSTAIN 0 21274726 1
MARKER 353 2530.8934964726636 Group(1,87)-RELEASE 0 21274726 1
MARKER 354 2530.8934964726636 Group(1,88)-ATTACK 0 21274726 1
MARKER 355 2545.1527557319228 Group(1,88)-SUSTAIN 0 21274726 1
MARKER 356 2562.458149617872 Group(1,88)-RELEASE 0 21274726 1
MARKER 357 2562.4581496178726 Group(1,89)-ATTACK 0 21274726 1
MARKER 358 2567.1724353321583 Group(1,89)-SUSTAIN 0 21274726 1
MARKER 359 2583.9574000587895 Group(1,89)-RELEASE 0 21274726 1
MARKER 360 2583.9574000587895 Group(1,90)-ATTACK 0 21274726 1
MARKER 361 2591.814542915932 Group(1,90)-SUSTAIN 0 21274726 1
MARKER 362 2614.3480967078194 Group(1,90)-RELEASE 0 21274726 1
MARKER 363 2614.3480967078194 Group(1,91)-ATTACK 0 21274726 1
MARKER 364 2623.951271310994 Group(1,91)-SUSTAIN 0 21274726 1
MARKER 365 2631.4102219282777 Group(1,91)-RELEASE 0 21274726 1
MARKER 366 2631.410221928278 Group(1,92)-ATTACK 0 21274726 1
MARKER 367 2638.410221928278 Group(1,92)-SUSTAIN 0 21274726 1
MARKER 368 2641.4291372721937 Group(1,92)-RELEASE 0 21274726 1
